,standar,,term_localName,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,Nuestras notas,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
1118,plic: terms,0,RelatedTo,RelatedTo,Specifies to which PlinianCore term the information contained under MolecularDataAtomized refers to. The controlled vocabulary is list of content-bearing PlinianCore elements.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Distance/RelatedTo|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Purpose/RelatedTo|/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized/RelatedTo,,,"MM no hay que filtrarlo. ""No filtrar"" (MM)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1121,plic: terms,12,behaviorAtomized,Atomized Behavior,"Responses, reactions or movements made by an organism in a particular situation.  ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Behavior,/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorAtomized,,,"""No Filtrar"" (todos los atomized que incluyan dwc dentro de measurementorFact y ancillaryData se mantienen 13.12.22)",0,plic,plic,http://rs.tdwg.org/plic/terms/,
1122,plic: terms,13,behaviorUnstructured,Unstructured Behavior,"Responses, reactions or movements made by an organism in a particular situation.  ",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Behavior,/Dataset/TaxonRecord/NaturalHistory/Behavior/BehaviorUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1130,plic: terms,81,NaturalHistoryUnstructured,Natural History Unstructured,"NaturalHistory element in text block format. This term is an unstructured alternative that may fit in an structured way in terms under the following categories:  TaxonomicDescription, LifeForm, LifeCycle, Reproduction, AnnualCycles, Feeding, Dispersal, Behavior, Interactions, MolecularData, Migratory, EcologicalSignificance, MiscDetails, EnvironmentalEnvelope.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NaturalHistory,/Dataset/TaxonRecord/NaturalHistory/NaturalHistoryUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1131,plic: terms,82,NomenclatureAndClassificationUnstructured,Nomenclature and Classification Unstructured,"Information on the taxon name, synonyms, nomenclatural status, common names, and taxonomic hierarchy; plus  misc. details and ancillary data.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/NomenclatureAndClassificationUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1137,plic: terms,20,detailUnstructured,Detail Unstructured,MiscDetail element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailUnstructured|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailUnstructured,,,"Relevancia del Miscdetails, solo tiene esta descripción https://github.com/tdwg/PlinianCore/wiki/PlinianCore_Terms_1#DetailUnstructured. MM verificar si es importante. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1138,plic: terms,19,detailAtomized,Atomized Detail,MiscDetail element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized,,,"""Nol filtrar""??13.12.22",,plic,plic,http://rs.tdwg.org/plic/terms/,PREGUNTAR A PACO VER COMENTARIOS
1141,plic: terms,86,populationBiologyUnstructured,unstructured population biology,Population biology data as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
142,plic: terms,0,BirthRate,Birth rate,Ratio of births to the total number of individuals in a population in a time period.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate,,,MM es de las que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
143,plic: terms,0,NumberIndividualsPerObservation,Number individuals per observation,Mean number of individuals per observation event or unit.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/NumberIndividualsPerObservation,,,MM de los que William debe investigar,,plic,plic,http://rs.tdwg.org/plic/terms/,
144,plic: terms,0,AverageDensity,Average density,Average of the densities obtained for a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AverageDensity,,,MM es de los que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
145,plic: terms,0,PopulationTrend,Population trend,"Changes of a population over time and can include changes in  distribution, biogeography (e.g., size of population), life-history (e.g., birth and death rates), etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationTrend,,,MM es de los que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
146,plic: terms,0,Recruitment,Recruitment,"Information on the process by which young individuals (e.g., seedlings, larvae, propagules) become part of the adult population. It can be rate, scale, a description, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Recruitment,,,MM es de los que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
147,plic: terms,0,PopulationGrowthRate,Population growth rate,"Growth rate of a population in a given time period, based on births, deaths, emigration and immigration.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate,,,MM es de los que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
148,plic: terms,0,Emigration,Emigration,Information on  individuals leaving a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration,,,MM es de los que William debe investigar.,,plic,plic,http://rs.tdwg.org/plic/terms/,
149,plic: terms,0,Immigration,Immigration,Information on individuals entering a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
150,plic: terms,0,DescriptionLifeStages,Description life stages,Sex/age categories or life stages of a species; can be size in the case of plants.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
151,plic: terms,0,ProportionIndividualsPerStageLife,ProportionIndividuals per stage life,Percentage of individuals that belong to each life stage in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
152,plic: terms,0,CarryingCapacity,Carrying capacity,Maximum population density possible as limited by the resources available for the population in the absence of predators and parasites.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
153,plic: terms,0,AbundanceData,AbundanceData,The relative representation of a species population in relation to other species or multiple species in a particular territory.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
154,plic: terms,0,DensityData,DensityData,Population size in relation to a defined space unit.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
155,plic: terms,0,PatternDistribution,Pattern distribution,The spatial arrangement of the individuals of a population in the territory it occupies.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
156,plic: terms,0,Size,Size,Number of individual organisms in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
157,plic: terms,0,SexRatio,SexRatio,Relative number of males to females in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
158,plic: terms,0,Fecundity,Fecundity,"In the context of a population, is the combined maximum potential of its individuals to produce offspring.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
159,plic: terms,0,MortalityRate,Mortality rate,Probability of dying; the ratio between the number of deaths in a given time interval to the number of subjects alive at the start of this interval.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate,,,"MV: no veo otra opción más que conservarlo, aunque está sujeto a las preguntas que hará William a Steve.",,plic,plic,http://rs.tdwg.org/plic/terms/,
1160,plic: terms,9,audiencesUnstructured,Unstructured Audiences,List audience codes separated by means of comma or /.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,RecordMetadata,/Dataset/TaxonRecord/RecordMetadata/TargetAudiences/AudiencesUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
162,plic: terms,89,Revision,Revision,"Creators, revision status and dates of the record.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,RecordMetadata,/Dataset/TaxonRecord/RecordMetadata/Revision,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
1163,plic: terms,88,reproductionAtomized,atomized reproduction,Reproduction element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Reproduction,/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized,,,"""No Filtrar"" (aquellos atomized que tengan dwc dentro de measurementorFact y ancillaryData se mantienen, 13.12.22).",,plic,plic,http://rs.tdwg.org/plic/terms/,
1164,plic: terms,92,reproductionUnstructured,unstructured reproduction,Reproduction element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Reproduction,/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1165,plic: terms,53,interactionUnstructured,Unstructured Interaction,interaction element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
166,plic: terms,93,synonymsAtomized,atomized synonyms,list of synonyms in a structured format.,,tcs:ScientificName,http://www.w3.org/2000/01/rdf-schema#Class,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized,,,Filtrado: 2023-06-27 es una clase,,plic,plic,http://rs.tdwg.org/plic/terms/,
168,plic: terms,0,synonymsType,synonyms type,"A type of sequence of sequences of zero or more Atomized and Unstructured synonyms, each one with their optional ancillary data.",,,http://www.w3.org/2000/01/rdf-schema#Class,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms,,,Filtrado: 2023-06-27 es una clase,,plic,plic,http://rs.tdwg.org/plic/terms/,
1169,plic: terms,95,synonymsUnstructured,unstructured synonyms,list of synonyms elements in a text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1170,plic: terms,0,SynonymName,Synonym name ,Scientific name of the synonym.,,"Definition borrowed from tcs: ScientificName. An object that represents a single scientific biological name that either is, or appears to be, governed by one of the biological codes of nomenclature. These are not taxa. Taxa, whether accepted or not, are represented by TaxonConcept objects. Vernacular names are also dealt with under taxon concepts",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/SynonymName,,,"""No Filtrar"" (es una hoja que incluye términos tcs, 13.12.22) ",,plic,plic,http://rs.tdwg.org/plic/terms/,
1171,plic: terms,0,SynonymStatus,Synonym status,Nomenclatural Status,,corresponds to dwc:nomenclaturalStatus. http://rs.tdwg.org/dwc/terms/index.htm#nomenclaturalStatus,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/SynonymStatus,,,"""No Filtrar"" (es una hoja 13.12.22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1175,plic: terms,57,keys,Keys,Dichotomic or multientrance keys.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/Keys,,,"""No filtrar""",,plic,plic,http://rs.tdwg.org/plic/terms/,
1176,plic: terms,42,fullDescriptionAtomized,Atomized Full Description,fullDescription element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized,,,"""No Filtrar"" (aquellos atomized que tengan dwc dentro de measurementorFact y ancillaryData se mantienen, 13.12.22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1177,plic: terms,43,fullDescriptionUnstructured,Unstructured Full Description,fullDescription element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1178,plic: terms,14,briefDescription,Brief Description,"Brief description which reflect only the diagnostic characters, i.e. those that distinguish a taxon from other related or close taxa.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/BriefDescription,,,"""No Filtrar"" (es hoja), 13.12.22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1180,plic: terms,98,taxonomicDescriptionUnstructured,unstructured taxonomic description,TaxonomicDescription element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/TaxonomicDescriptionUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1189,plic: terms,101,territoryUnstructured,unstructured territory,"Information associated mostly to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.). As a text block.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
190,plic: terms,0,ExtentOfOccurrence,Extent of occurrence,"Area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of vagrancy.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence,,,Estaba filtrado pero es una hoja CP,,plic,plic,http://rs.tdwg.org/plic/terms/,
191,plic: terms,0,AreaOfOccupancy,Area of occupancy,"Area within its 'extent of occurrence' (see EOO) which is occupied by a taxon, excluding cases of vagrancy. The measure reflects the fact that a taxon will not usually occur throughout the area of its extent of occurrence, which may contain unsuitable or unoccupied habitats.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy,,,Estaba filtrado pero es una hoja CP,,plic,plic,http://rs.tdwg.org/plic/terms/,
193,plic: terms,22,DirectThreatAtomized,Atomized Direct Threat,directThreats element in structured format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
1194,plic: terms,23,directThreatUnstructured,Unstructured Direct Threat,directThreats element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1195,plic: terms,104,threatStatusUnstructured,unstructured threat status,Information about the status of the taxon.As a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusUnstructured,,,"""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1197,plic: terms,0,ThreatCategory,Threat category,Description of the conservation status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/ThreatCategory,,,"""No Filtrar"" (es una hoja y término nuestro)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1198,plic: terms,0,Authority,Authority,Organism or institution that assess the status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/Authority,,,"""No Filtrar"" (es una hoja y término nuestro)",,plic,plic,http://rs.tdwg.org/plic/terms/,
200,plic: terms,0,TrophicStrategy,Trophic Strategy,"Tactic used to obtain energy or nutrients. A controlled vocabulary is  recommended. e.g. Chemosynthetic organisms, Photosynthetic  organisms, Parasites, Decomposers, Suspension feeders, Substrate feeders,   Grazers, Fluid-feeders, Predators...",,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/Thropic/TrophicStrategy,,,"Agregado hace parte de Feeding, inconsistencia en github con los nombres de los elemento unos incluyen feeding antes de el nombre específico, otros no. Se debe mantener CP. VISTO",,plic,plic,http://rs.tdwg.org/plic/terms/,
201,plic: terms,0,TrophicStrategyRemarks,Trophic Strategy Remarks,Information notes about specific feeding strategies.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/Thropic/TrophicStrategyRemarks,,,"Agregado hace parte de Feeding, inconsistencia en github con los nombres de los elemento unos incluyen feeding antes de el nombre específico, otros no VISTO, se ha modificado a TrophicStrategicRemarks (antes TrophicRemarks)",,plic,plic,http://rs.tdwg.org/plic/terms/,
203,plic: terms,111,UsesUnstructured,Unstructured Uses,Uses in a unstructured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesUnstructured,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
205,plic: terms,0,Use-Value,Use-Value,"What is the plant used for, or what negative values does it have.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Use-Value,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
206,plic: terms,0,PartUsed,Part Used,"Acc. TDWG Economic Botany. Which plant parts are used, or have any negative values.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/PartUsed,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
207,plic: terms,0,Users,Users,Acc. TDWG Economic Botany. The user group who recognizes the value and/or use of the plant.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Users,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
208,plic: terms,0,Organisms,Organisms,Acc. TDWG Economic Botany. Organisms which use the plant/plant parts.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Organisms,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
209,plic: terms,0,VernacularNameUseAnnotations,Vernacular Name Use Annotations,"Acc. TDWG Economic Botany. The name of the taxon must be distinguished from the name of the plant parts, the names of any processing stages, and the final product name. Names used in trade should be identified. It should also be mentioned if any vernacular name refers to more than one taxon. The use of some names may be restricted to a time of year or occasion, or have sacred connotations. The language or dialect to which the names belong should be stated along with details of the ethnic group. Care should be taken with transliteration into the Roman alphabet; if a standard system exists, use it and note which one it is.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/VernacularNameUseAnnotations,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
210,plic: terms,0,ProductionDetails,Production Details,"Definition:        Acc. TDWG Economic Botany. (where relevant). Give details of protection, cultivation, harvesting, yields, processing and storage methods used and take note of special tools, timing etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/ProductionDetails,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
211,plic: terms,0,MeansOfApplication-Administration,Means of Application-Administration,"Acc. TDWG Economic Botany. This is specific relevant for medicines, poisons .",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/MeansOfApplication-Administration,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
212,plic: terms,0,SeasonOfAvailability-Use,Season of Availability-Use,"Acc. TDWG Economic Botany. The season in which the plant is available/is used and, if relevant, the time of day.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/SeasonOfAvailability-Use,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
213,plic: terms,0,Conservation-ExplotationData,Conservation-Explotation Data,"Acc. TDWG Economic Botany. Frequency record of plants, details of regeneration, sustainability or over-exploitation and any locally imposed bans on felling or harvesting.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Conservation-ExplotationData,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
214,plic: terms,0,UseType,Use Type,"Acc. TDWG Economic Botany. Type of use: traditional, modern, industrial or just a possible use.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,,,,"Se elimina el apellido atomized era un error de tipeo. 
Debe eliminarse según mensaje de Gloria Martínez (May.24: Re: Remates Plinian para entregarlo al Ejecutivo de TDWG): 9. UseType: no debería aparecer porque no es una hoja.",,plic,plic,http://rs.tdwg.org/plic/terms/,
215,plic: terms,0,Economics,Economics,"Acc. TDWG Economic Botany. Real or potential existence of trade in live plants, plant parts or derivatives and, if so, the trade scale.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Economics,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
216,plic: terms,0,RatingPopularity,Rating Popularity,"Acc. TDWG Economic Botany. Assessment of the plant for its use and possible preference to other species, pointing out, in this case, which species are they.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/RatingPopularity,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
217,plic: terms,0,Properties,Properties,Acc. TDWG Economic Botany. Details of properties which influence its value for a specified purpose.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Properties,,,VISTO,,plic,plic,http://rs.tdwg.org/plic/terms/,
