term_localName,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
PopulationGrowthRate,Population growth rate,"Growth rate of a population in a given time period, based on births, deaths, emigration and immigration.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PopulationGrowthRate,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Emigration,Emigration,Information on  individuals leaving a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Emigration,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Immigration,Immigration,Information on individuals entering a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Immigration,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DescriptionLifeStages,Description life stages,Sex/age categories or life stages of a species; can be size in the case of plants.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DescriptionLifeStages,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ProportionIndividualsPerStageLife,ProportionIndividuals per stage life,Percentage of individuals that belong to each life stage in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/ProportionIndividualsPerStageLife,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
CarryingCapacity,Carrying capacity,Maximum population density possible as limited by the resources available for the population in the absence of predators and parasites.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/CarryingCapacity,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
AbundanceData,AbundanceData,The relative representation of a species population in relation to other species or multiple species in a particular territory.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/AbundanceData,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DensityData,DensityData,Population size in relation to a defined space unit.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/DensityData,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
PatternDistribution,Pattern distribution,The spatial arrangement of the individuals of a population in the territory it occupies.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/PatternDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Size,Size,Number of individual organisms in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Size,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SexRatio,SexRatio,Relative number of males to females in a population.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/SexRatio,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Fecundity,Fecundity,"In the context of a population, is the combined maximum potential of its individuals to produce offspring.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/Fecundity,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
MortalityRate,Mortality rate,Probability of dying; the ratio between the number of deaths in a given time interval to the number of subjects alive at the start of this interval.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/MortalityRate,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
audiencesUnstructured,Unstructured Audiences,List audience codes separated by means of comma or /.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/TargetAudiences/AudiencesUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Revision,Revision,"Creators, revision status and dates of the record.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Revision,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
reproductionAtomized,atomized reproduction,Reproduction element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Reproduction,/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
reproductionUnstructured,unstructured reproduction,Reproduction element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Reproduction,/Dataset/TaxonRecord/NaturalHistory/Reproduction/ReproductionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
interactionUnstructured,Unstructured Interaction,interaction element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
synonymsUnstructured,unstructured synonyms,list of synonyms elements in a text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SynonymName,Synonym name ,Scientific name of the synonym.,,"tcs: ScientificName. An object that represents a single scientific biological name that either is, or appears to be, governed by one of the biological codes of nomenclature. These are not taxa. Taxa, whether accepted or not, are represented by TaxonConcept objects. Vernacular names are also dealt with under taxon concepts",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/SynonymName,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SynonymStatus,Synonym status,Nomenclatural Status,,corresponds to dwc:nomenclaturalStatus. http://rs.tdwg.org/dwc/terms/index.htm#nomenclaturalStatus,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Synonyms/SynonymsAtomized/SynonymStatus,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
keys,Keys,Dichotomic or multientrance keys.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/IdentificationKeys/Keys,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
fullDescriptionAtomized,Atomized Full Description,fullDescription element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
fullDescriptionUnstructured,Unstructured Full Description,fullDescription element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/FullDescription/FullDescriptionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
briefDescription,Brief Description,"Brief description which reflect only the diagnostic characters, i.e. those that distinguish a taxon from other related or close taxa.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/BriefDescription,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
taxonomicDescriptionUnstructured,unstructured taxonomic description,TaxonomicDescription element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,TaxonomicDescription,/Dataset/TaxonRecord/TaxonomicDescription/TaxonomicDescriptionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
territoryUnstructured,unstructured territory,"Information associated mostly to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.). As a text block.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ExtentOfOccurrence,Extent of occurrence,"Area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of vagrancy.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/ExtentOfOccurrence,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
AreaOfOccupancy,Area of occupancy,"Area within its 'extent of occurrence' (see EOO) which is occupied by a taxon, excluding cases of vagrancy. The measure reflects the fact that a taxon will not usually occur throughout the area of its extent of occurrence, which may contain unsuitable or unoccupied habitats.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Territory/TerritoryAtomized/AreaOfOccupancy,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DirectThreatAtomized,Atomized Direct Threat,directThreats element in structured format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
directThreatUnstructured,Unstructured Direct Threat,directThreats element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DirectThreats/DirectThreatUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
threatStatusUnstructured,unstructured threat status,Information about the status of the taxon.As a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ThreatCategory,Threat category,Description of the conservation status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/ThreatCategory,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Authority,Authority,Organism or institution that assess the status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/Authority,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
TrophicStrategy,Trophic Strategy,"Tactic used to obtain energy or nutrients. A controlled vocabulary is  recommended. e.g. Chemosynthetic organisms, Photosynthetic  organisms, Parasites, Decomposers, Suspension feeders, Substrate feeders,   Grazers, Fluid-feeders, Predators...",,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/Thropic/TrophicStrategy,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
TrophicStrategyRemarks,Trophic Strategy Remarks,Information notes about specific feeding strategies.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/Thropic/TrophicStrategyRemarks,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
UsesUnstructured,Unstructured Uses,Uses in a unstructured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Use-Value,Use-Value,"What is the plant used for, or what negative values does it have.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Use-Value,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
PartUsed,Part Used,"Acc. TDWG Economic Botany. Which plant parts are used, or have any negative values.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/PartUsed,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Users,Users,Acc. TDWG Economic Botany. The user group who recognizes the value and/or use of the plant.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Users,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Organisms,Organisms,Acc. TDWG Economic Botany. Organisms which use the plant/plant parts.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Organisms,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
VernacularNameUseAnnotations,Vernacular Name Use Annotations,"Acc. TDWG Economic Botany. The name of the taxon must be distinguished from the name of the plant parts, the names of any processing stages, and the final product name. Names used in trade should be identified. It should also be mentioned if any vernacular name refers to more than one taxon. The use of some names may be restricted to a time of year or occasion, or have sacred connotations. The language or dialect to which the names belong should be stated along with details of the ethnic group. Care should be taken with transliteration into the Roman alphabet; if a standard system exists, use it and note which one it is.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/VernacularNameUseAnnotations,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ProductionDetails,Production Details,"Definition:        Acc. TDWG Economic Botany. (where relevant). Give details of protection, cultivation, harvesting, yields, processing and storage methods used and take note of special tools, timing etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/ProductionDetails,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
MeansOfApplication-Administration,Means of Application-Administration,"Acc. TDWG Economic Botany. This is specific relevant for medicines, poisons .",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/MeansOfApplication-Administration,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SeasonOfAvailability-Use,Season of Availability-Use,"Acc. TDWG Economic Botany. The season in which the plant is available/is used and, if relevant, the time of day.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/SeasonOfAvailability-Use,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Conservation-ExplotationData,Conservation-Explotation Data,"Acc. TDWG Economic Botany. Frequency record of plants, details of regeneration, sustainability or over-exploitation and any locally imposed bans on felling or harvesting.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Conservation-ExplotationData,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
UseType,Use Type,"Acc. TDWG Economic Botany. Type of use: traditional, modern, industrial or just a possible use.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Economics,Economics,"Acc. TDWG Economic Botany. Real or potential existence of trade in live plants, plant parts or derivatives and, if so, the trade scale.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Economics,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
RatingPopularity,Rating Popularity,"Acc. TDWG Economic Botany. Assessment of the plant for its use and possible preference to other species, pointing out, in this case, which species are they.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/RatingPopularity,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Properties,Properties,Acc. TDWG Economic Botany. Details of properties which influence its value for a specified purpose.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Properties,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Potential,Potential,"Acc. TDWG Economic Botany. Could the use, cultivation, manufacture of products etc. be increased and /or introduced to other areas or social groups?",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/Potential,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
UseNotes,Use Notes,Notes about how species are utilized by people.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/UseNotes,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Objectives,Objectives,Specific purposes of the management actions. Each objective must be separated by ;,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/Objectives,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ManagementPlan,Management Plan,plan guiding the overall management project.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/ManagementPlan,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Actions,Actions,Individual tasks in which a management project can be atomized. Each action must be separated by ;,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/Actions,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ActionsType,Actions Type,Each action must have one type. In the case that one action doesn't have type then put blank.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
HumanAndEnvironmentalrelevance,Human and Environmental Relevance,"Impact or value an species has either on the environment or on humans, and that justify management measures.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationAtomized/HumanAndEnvironmentalRelevance,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
UsesManagementAndConservationUnstructured,Uses Management and Conservation Unstructured ,UsesManagementAndConservation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/UsesManagementAndConservationUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
ManagementAndConservationUnstructured,Management and Conservation Unstructured,Management: actions directed at conserving or restoring species / Conservation: interventions undertaken designed to preserve species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/ManagementAndConservation/ManagementAndConservationUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
SourceOfInformationText,Source of information text,"Where does the observation come from? Where appropriate, voucher specimen details should be provided (collector, number, date, herbarium) as well as details of the recorded informant (name, gender, approximate age, occupation, ethnic identity, locality and spoken language).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,UsesManagementAndConservation,/Dataset/TaxonRecord/UsesManagementAndConservation/Uses/UsesAtomized/SourceOfInformation/SourceOfInformationText,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Major,Major,The major version number ('1' in 1.2) as defined by the content creators.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Version/Major,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Minor,Minor,An optional minor version number ('2' in 1.2),,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Version/Minor,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
Modifier,Modifier,Unconstrained text specifying status + optional number.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Version/Modifier,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
DateIssued,Date issued,Source for Dublin-Core standard element Date.Issued: Citable 'publication date' of the current version (comp. Revision_Data/Date_Created and Date_Modified for version- independent dates). This date should be missing if the current version is not yet published!.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Version/DateIssued,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
PreferredFlag,Preferred flag,TRUE to indicate current version when providers serve more than one record per taxon.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/RecordMetadata/Version/PreferredFlag,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
taxonValue,Taxon value,The taxon name,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NomenclatureAndClassification/Hierarchy/ParentTaxon/taxonValue,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
GlobalUniqueIdentifier,Global Unique Identifier,According to Darwin Core: An Uniform Resource Name (URN) used as an unique identifier of the taxon record.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Metadata,/Dataset/TaxonRecord/BaseElements/GlobalUniqueIdentifier,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
